"Name","Author","Created","Vendor","ExpectedLocations","VulnerableExecutables","VulnerableExecutables_Path","VulnerableExecutables_Type","VulnerableExecutables_ExpectedVersionInformation","VulnerableExecutables_ExpectedVersionInformation_OriginalFilename","VulnerableExecutables_ExpectedVersionInformation_FileDescription","VulnerableExecutables_SHA256","Resources","Acknowledgements","Acknowledgements_Name","Acknowledgements_Company","Acknowledgements_Twitter","ExpectedSignatureInformation","ExpectedSignatureInformation_Subject","ExpectedSignatureInformation_Issuer","ExpectedSignatureInformation_Type","VulnerableExecutables_AutoElevate","VulnerableExecutables_ExpectedVersionInformation_InternalName","ExpectedVersionInformation","ExpectedVersionInformation_OriginalFilename","ExpectedVersionInformation_InternalName","ExpectedVersionInformation_FileDescription","VulnerableExecutables_ExpectedSignatureInformation","VulnerableExecutables_ExpectedSignatureInformation_Subject","VulnerableExecutables_ExpectedSignatureInformation_Issuer","VulnerableExecutables_ExpectedSignatureInformation_Type","VulnerableExecutables_ExpectedVersionInformation_CompanyName","VulnerableExecutables_ExpectedVersionInformation_FileVersion","VulnerableExecutables_ExpectedVersionInformation_LegalCopyright","VulnerableExecutables_ExpectedVersionInformation_ProductName","VulnerableExecutables_ExpectedVersionInformation_ProductVersion","VulnerableExecutables_Variable","VulnerableExecutables_PrivilegeEscalation","VulnerableExecutables_Condition","ExpectedVersionInformation_CompanyName","ExpectedVersionInformation_LegalCopyright","ExpectedVersionInformation_ProductName","ExpectedVersionInformation_FileVersion","ExpectedVersionInformation_ProductVersion","CVE","is_legit"
"wmicodegen.dll","Swachchhanda Shrawan Poudel","2024-07-25","Microsoft","%PROGRAMFILES%\windows kits\%VERSION%\bin\%VERSION%","","%PROGRAMFILES%\windows kits\%VERSION%\bin\%VERSION%\convert-moftoprovider.exe","Sideloading","","convert-moftoprovider.exe","WMI V2 provider code generation tool","0C14A5E99C861E3A393A78E23D85DA1AACD43AB29FE017EB56BABD3BF447DBFA","https://securelist.com/apt41-in-africa/116986/","","Swachchhanda Shrawan Poudel","Nextron Systems","@_swachchhanda_","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"windowsperformancerecorderui.dll","Gary Lobermier","2023-05-22","Microsoft","%PROGRAMFILES%\Windows Kits\10\Windows Performance Toolkit","","%PROGRAMFILES%\Windows Kits\10\Windows Performance Toolkit\WPRUI.exe","Sideloading","","","","","https://globetech.biz/index.php/2023/05/19/evading-edr-by-dll-sideloading-in-csharp/","","","","","","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","True","","","","","","","","","","","","","","","","","","","","","","","","false"
"uxcore.dll","Jai Minton - HuntressLabs","2025-01-22","Microsoft","%PROGRAMFILES%\windows live\installer","","%PROGRAMFILES%\windows live\installer\Dashboard.exe","Sideloading","","Dashboard.exe","Windows Live installer client executable","8cc871ee8760a4658189528b4a5d8afe9824f6a13faaf1fe7eb56f2a3ad2d04e","[''https://www.virustotal.com/gui/file/016468b087cdbe5123189b68965cb65dc95ba1a59fc3ed32144b92d1274d13b6/relations''-|-''https://www.virustotal.com/gui/file/23c3fec8dc60c06caadecb31e2d770212e70faf0de866cb5878622f077d4fe2a'']","","Jai Minton","Huntress","@cyberrraiju","","","","","","Dashboard.exe","","","","","","","","","","","","","","","","","","","","","","","false"
"tedutil.dll","Jai Minton - HuntressLabs","2024-04-15","Microsoft","%PROGRAMFILES%\Microsoft SDKs\Windows\%VERSION%\Bin","","%PROGRAMFILES%\Microsoft SDKs\Windows\%VERSION%\Bin\TopoEdit.exe","Sideloading","","","","b874e5abdd7c008d47560fda4e84db893ac63c18c3a5a450d25f4e62ed8e8d8c","[''https://asec.ahnlab.com/en/58319/''-|-''https://www.virustotal.com/gui/file/eb014e37fdcaf42c93f606058896ccb47eed56be5e1701c7b9744bac0003a8e8/details''-|-''https://learn.microsoft.com/en-us/windows/win32/medfound/topoedit-modules'']","","Jai Minton","Huntress","@cyberrraiju","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"symsrv.dll","Gary Lobermier","2023-05-22","Microsoft","%PROGRAMFILES%\Windows Kits\10\Debuggers\%VERSION%","","%PROGRAMFILES%\Windows Kits\10\Debuggers\%VERSION%\symstore.exe","Sideloading","","","","","https://globetech.biz/index.php/2023/05/19/evading-edr-by-dll-sideloading-in-csharp/","","","","","","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","","","","","","","","","","","false"
"rcdll.dll","Gary Lobermier","2023-05-22","Microsoft","%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\%VERSION%","","%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\%VERSION%\rc.exe","Sideloading","","","","","https://globetech.biz/index.php/2023/05/19/evading-edr-by-dll-sideloading-in-csharp/","","","","","","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","","","","","","","","","","","false"
"ppcore.dll","Swachchhanda Shrawan Poudel","2025-04-23","Microsoft","[''%PROGRAMFILES%\Microsoft Office\OFFICE%VERSION%''-|-''%PROGRAMFILES%\Microsoft Office\Root\OFFICE%VERSION%''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX86\Root\Office%VERSION%''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX64\Root\Office%VERSION%'']","","[''%PROGRAMFILES%\Microsoft Office\OFFICE%VERSION%\Powerpnt.exe''-|-''%PROGRAMFILES%\Microsoft Office\Root\OFFICE%VERSION%\Powerpnt.exe''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX86\Root\Office%VERSION%\Powerpnt.exe''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX64\Root\Office%VERSION%\Powerpnt.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading'']","","","","","[''https://research.checkpoint.com/2025/apt29-phishing-campaign/''-|-''https://www.virustotal.com/gui/file/d931078b63d94726d4be5dc1a00324275b53b935b77d3eed1712461f0c180164'']","","Swachchhanda Shrawan Poudel","Nextron Systems","@_swachchhanda_","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"outllib.dll","Wietze Beukema","2022-06-13","Microsoft","[''%PROGRAMFILES%\Microsoft Office\OFFICE%VERSION%''-|-''%PROGRAMFILES%\Microsoft Office\Root\OFFICE%VERSION%''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX86\Root\Office%VERSION%''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX64\Root\Office%VERSION%'']","","[''%PROGRAMFILES%\Microsoft Office\OFFICE%VERSION%\outlook.exe''-|-''%PROGRAMFILES%\Microsoft Office\Root\OFFICE%VERSION%\outlook.exe''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX86\Root\Office%VERSION%\outlook.exe''-|-''%PROGRAMFILES%\Microsoft Office %VERSION%\ClientX64\Root\Office%VERSION%\outlook.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading'']","","","","","https://medium.com/insomniacs/analysis-walkthrough-fun-clientrun-part-1-b2509344ebe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"mspgimme.dll","Josh Allman","2025-03-27","Microsoft","%PROGRAMFILES%\Common Files\Microsoft Shared\MODI\11.0","","%PROGRAMFILES%\Common Files\Microsoft Shared\MODI\11.0\MSPSCAN.EXE","Sideloading","","","","99f193b6479bfa3e127c9c7209716ae0adbf0d782d51fb0faff016544dd70819","","","[''Josh Allman''-|-''Jamie Dumas''-|-''Jevon Ang'']","[''Huntress''-|-''Huntress''-|-''Huntress'']","[''@xorjosh''-|-''@encapsulateJ''-|-''@Jev_3ng'']","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"msimg32.dll","Jai Minton - HuntressLabs","2025-04-10","Microsoft","[''%PROGRAMFILES%\Haihaisoft PDF Reader''-|-''%SYSTEM32%''-|-''%SYSWOW64%'']","","%PROGRAMFILES%\Haihaisoft PDF Reader\hpreader.exe","Sideloading","","hpreader.exe","Haihaisoft PDF Reader","[''2f9be76319a2441d14e7e10239373f053f05f3c1ca2056babb58db50ebe8c5c7''-|-''08c7fb6067acc8ac207d28ab616c9ea5bc0d394956455d6a3eecb73f8010f7a2'']","https://www.virustotal.com/gui/file/2f08e2316a38da2d39d31131a0e3314024ab80756050624afafc1e17b0562d5e/details","","Jai Minton","Huntress","@cyberrraiju","","","","","","hpreader.exe","","gdiext","gdiext","GDIEXT Client DLL","","C=HK,1.2.840.113549.1.9.1=#0c156a6f7365706840686169686169736f66742e636f6d, L=Hong Kong,ST=Hong Kong, O=Haihaisoft Limited, CN=Haihaisoft Limited","C=BE, O=GlobalSign nv-sa, CN=GlobalSign CodeSigning CA - SHA256 - G3","Authenticode","","","","","","","","","","","","","","","false"
