"Service Name","Port Number","Transport Protocol","Description","is_legit"
"","0","tcp","Reserved","false"
"","0","udp","Reserved","false"
"tcpmux","1","tcp","TCP Port Service Multiplexer","false"
"tcpmux","1","udp","TCP Port Service Multiplexer","false"
"","2","tcp","Reserved","false"
"","2","udp","Reserved","false"
"","3","tcp","Reserved","false"
"","3","udp","Reserved","false"
"","4","tcp","Unassigned","false"
"","4","udp","Unassigned","false"
"rje","5","tcp","Remote Job Entry","false"
"rje","5","udp","Remote Job Entry","false"
"","6","tcp","Unassigned","false"
"","6","udp","Unassigned","false"
"echo","7","tcp","Echo","false"
"echo","7","udp","Echo","false"
"","8","tcp","Unassigned","false"
"","8","udp","Unassigned","false"
"discard","9","tcp","Discard","false"
"discard","9","udp","Discard","false"
"discard","9","sctp","Discard","false"
"discard","9","dccp","Discard","false"
"","10","tcp","Unassigned","false"
"","10","udp","Unassigned","false"
"systat","11","tcp","Active Users","false"
"systat","11","udp","Active Users","false"
"","12","tcp","Unassigned","false"
"","12","udp","Unassigned","false"
"daytime","13","tcp","Daytime","false"
"daytime","13","udp","Daytime","false"
"","14","tcp","Unassigned","false"
"","14","udp","Unassigned","false"
"","15","tcp","Unassigned [was netstat]","false"
"","15","udp","Unassigned","false"
"","16","tcp","Unassigned","false"
"","16","udp","Unassigned","false"
"qotd","17","tcp","Quote of the Day","false"
"qotd","17","udp","Quote of the Day","false"
"msp","18","tcp","Message Send Protocol (historic)","false"
"msp","18","udp","Message Send Protocol (historic)","false"
"chargen","19","tcp","Character Generator","false"
"chargen","19","udp","Character Generator","false"
"ftp-data","20","tcp","File Transfer [Default Data]","false"
"ftp-data","20","udp","File Transfer [Default Data]","false"
"ftp-data","20","sctp","FTP","false"
"ftp","21","tcp","File Transfer Protocol [Control]","false"
"ftp","21","udp","File Transfer Protocol [Control]","false"
"ftp","21","sctp","FTP","false"
"ssh","22","tcp","The Secure Shell (SSH) Protocol","false"
"ssh","22","udp","The Secure Shell (SSH) Protocol","false"
"ssh","22","sctp","SSH","false"
"telnet","23","tcp","Telnet","false"
"telnet","23","udp","Telnet","false"
"","24","tcp","any private mail system","false"
"","24","udp","any private mail system","false"
"smtp","25","tcp","Simple Mail Transfer","false"
"smtp","25","udp","Simple Mail Transfer","false"
"","26","tcp","Unassigned","false"
"","26","udp","Unassigned","false"
"nsw-fe","27","tcp","NSW User System FE","false"
"nsw-fe","27","udp","NSW User System FE","false"
"","28","tcp","Unassigned","false"
"","28","udp","Unassigned","false"
"msg-icp","29","tcp","MSG ICP","false"
"msg-icp","29","udp","MSG ICP","false"
